track name,artist,genre,streams,pos
SWIM,BTS,k-pop,11273830,1
Body to Body,BTS,k-pop,6815694,2
Babydoll,Dominic Fike,alternative pop,5733862,3
Hooligan,BTS,k-pop,5338608,4
FYA,BTS,k-pop,5196767,5
NORMAL,BTS,k-pop,4749288,6
Stateside + Zara Larsson (w/ Zara Larsson),PinkPantheress,uk garage,4738329,7
Aliens,BTS,k-pop,4718569,8
2,BTS,k-pop,4573989,9
Like Animals,BTS,k-pop,4567309,10
Merry Go Round,BTS,k-pop,4490039,11
they don’t know ’bout us,BTS,k-pop,4423675,12
Man I Need,Olivia Dean,pop,4300853,13
DtMF,Bad Bunny,pop,4274742,14
End of Beginning,Djo,synth-pop,4108838,15
Risk It All,Bruno Mars,offizielle charts,4007478,16
One More Night,BTS,k-pop,3979999,17
So Easy (To Fall In Love),Olivia Dean,pop,3932082,18
Please,BTS,k-pop,3897341,19
Raindance (w/ Tems),Dave,rap,3876044,20
No. 29,BTS,k-pop,3769141,21
Into the Sun,BTS,k-pop,3766459,22
The Fate of Ophelia,Taylor Swift,pop,3721332,23
back to friends,sombr,indie pop,3583316,25
BAILE INoLVIDABLE,Bad Bunny,reggaeton,3344867,26
Lush Life,Zara Larsson,pop,3341957,27
WHERE IS MY HUSBAND!,RAYE,pop,3241010,28
NUEVAYoL,Bad Bunny,reggaeton,3221298,29
American Girls,Harry Styles,rock,3101460,31
iloveitiloveitiloveit,Bella Kay,billboard hot 100,2978129,32
I Just Might,Bruno Mars,pop,2860193,33
Iris,The Goo Goo Dolls,alternative rock,2776320,34
Die With A Smile (w/ Bruno Mars),Lady Gaga,pop,2691880,35
Manchild,Sabrina Carpenter,pop,2649376,36
Tití Me Preguntó,Bad Bunny,reggaeton,2649180,37
Love Me Not,Ravyn Lenae,pop,2547681,38
EoO,Bad Bunny,billboard hot 100,2542905,39
White Keys,Dominic Fike,offizielle charts,2531236,40
BIRDS OF A FEATHER,Billie Eilish,alternative pop,2529075,41
Die On This Hill,SIENNA SPIRO,pop,2398309,43
Every Breath You Take,The Police,new wave,2367833,44
Dracula - JENNIE Remix (w/ JENNIE),Tame Impala,psychedelic rock,2332341,45
12 to 12,sombr,indie pop,2260402,46
Mr. Brightside,The Killers,rock,2220784,47
Espresso,Sabrina Carpenter,pop,2213750,48
Choosin' Texas,Ella Langley,country,2169091,49
I Thought I Saw Your Face Today,She & Him,indie pop,2155500,50
(When You Gonna) Give It Up to Me (w/ Keyshia Cole),Sean Paul,dancehall,2154338,51
Homewrecker,sombr,indie pop,2139700,52
Sailor Song,Gigi Perez,electronic,2107410,53
Beautiful Things,Benson Boone,pop,2090231,54
Sweater Weather,The Neighbourhood,rock,2068795,56
"One Dance (w/ Wizkid, Kyla)",Drake,hip hop,2035423,57
Rein Me In (w/ Olivia Dean),Sam Fender,rock,2020602,58
Creep,Radiohead,rock,2011657,59
Opalite,Taylor Swift,pop,1992549,60
FEVER DREAM,Alex Warren,offizielle charts,1992250,61
dopamina (w/ Tito Double P),Peso Pluma,regional mexicano,1952764,62
E85,Don Toliver,billboard hot 100,1948495,63
That's What I Like,Bruno Mars,pop,1912383,65
Dracula,Tame Impala,dance-pop,1906471,66
Dreams - 2004 Remaster,Fleetwood Mac,rock,1894536,67
Gabriela,KATSEYE,girl group,1850006,68
Yellow,Coldplay,alternative rock,1828666,69
Locked out of Heaven,Bruno Mars,pop,1827015,70
I Wanna Be Yours,Arctic Monkeys,indie rock,1825413,71
Who,Jimin,contemporary r&b,1807214,72
VOY A LLeVARTE PA PR,Bad Bunny,reggaeton,1780848,74
daño (w/ Tito Double P),Peso Pluma,regional mexicano,1780764,75
Starboy (w/ Daft Punk),The Weeknd,r&b,1761445,76
Lose Control,Teddy Swims,pop,1737868,77
Riptide,Vance Joy,rock,1737857,78
WILDFLOWER,Billie Eilish,alternative pop,1730195,79
LA CANCIÓN (w/ Bad Bunny),J Balvin,electronic,1708412,80
Qué Pasaría... (w/ Bad Bunny),Rauw Alejandro,reggaeton,1674168,82
Feel Good Inc,Gorillaz,electronic,1669648,83
All The Stars (w/ SZA),Kendrick Lamar,hip hop,1665602,84
See You Again (w/ Kali Uchis),"Tyler, The Creator",hip hop,1662229,85
In the End,Linkin Park,nu metal,1647656,86
"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",The Weeknd,r&b,1643774,87
Danza Kuduro (w/ Lucenzo),Don Omar,reggaeton,1643700,88
Aperture,Harry Styles,pop,1643576,89
"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",W Sound,falcom,1639753,90
"LA VILLA (w/ Kapo, Gangsta)",Ryan Castro,rock,1634806,91
"Good Luck, Babe!",Chappell Roan,pop,1621060,92
Viva La Vida,Coldplay,alternative rock,1610233,93
As It Was,Harry Styles,pop,1608775,94
We Are The People,Empire Of The Sun,electronic,1594097,95
The Less I Know The Better,Tame Impala,psychedelic rock,1593781,96
505,Arctic Monkeys,indie rock,1587695,97
