id,track name,artist name,album name,genre,duration
1,Nano,"TUL8TE, Saint Levant",Nano,arabic hip hop|egyptian hip hop,216.81
2,Heartbreak Anniversary,GIVĒON,Heartbreak Anniversary,r&b,196.79
3,Lovesick Lobotomy,Earthgirl,Lovesick Lobotomy,rock|pop,137.14
4,Corazón Sin Cara,Prince Royce,Prince Royce,latin|bachata,211.45
5,Gimme That,"Bravo the Bagchaser, Peysoh",Gimme That,hip-hop|rap,155.59
6,Too Many Ways,Ryan Beatty,Sweet Fortune,pop,233.74
7,Right My Wrongs,Khamari,A Brief Nirvana,indie r&b,140.96
8,Jenny Was A Friend Of Mine,The Killers,Hot Fuss,alternative rock,243.93
9,La Mentira,Luis Miguel,Romance,latin|bolero,226.49
10,Sorrows,Bryson Tiller,A N N I V E R S A R Y,r&b|trap soul,193.7
11,PERFuMITO NUEVO,"Bad Bunny, RaiNao",DeBÍ TiRAR MáS FOToS,latin|reggaeton,200.68
12,Black Magic Woman,Santana,Ultimate Santana,pop|rock,195.87
13,Hold Me Down,Daniel Caesar,Freudian,indie|pop,231.27
14,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",Freudian,r&b,209.83
15,Roommates,Malcolm Todd,Sweet Boy,indie|pop,214.5
16,El Perdedor,Aventura,K.O.B. Live,latin|bachata,215.21
17,Sail Away,The Long Faces,Sail Away,rock|pop,224.45
18,Call Your Name,Daughtry,Leave This Town,post-grunge,242.99
19,thank you i guess,Forrest Nolan,thank you i guess,bedroom pop,118.3
20,Next to You,Macseal,"Yeah, No, I Know",emo|midwest emo,208.38
21,Manchild,Sabrina Carpenter,Man’s Best Friend,pop,213.65
22,I Just Threw Out The Love Of My Dreams,Weezer,Pinkerton - Deluxe Edition,alternative rock,157.96
23,Mr. Brightside,The Killers,Hot Fuss,alternative rock,222.97
24,Don't Speak,"Scott Bradlee's Postmodern Jukebox, Haley Reinhart",Don't Speak,electro swing|jazz pop,249.92
25,In The Kitchen,Reneé Rapp,Everything To Everyone,rock|pop,227.75
26,Nano,"TUL8TE, Saint Levant",Nano,arabic hip hop|egyptian hip hop,216.81
27,For Us,Pacifica,In Your Face!,indie|pop,178.11
28,Seneen,TUL8TE,Seneen,arabic hip hop|egyptian hip hop,214.07
29,Sushi,FKA twigs,EUSEXUA Afterglow,alternative r&b|art pop,322.5
30,Loser,Tame Impala,Deadbeat,indie|neo-psychedelic,223.07
31,Soft Stud,Black Belt Eagle Scout,Mother of My Children,indie|indie rock,368.06
32,El Hob Gany,TUL8TE,El Hob Gany,arabic hip hop|egyptian hip hop,241.21
33,Ginkgo,Panchiko,Ginkgo,shoegaze,157.39
34,Acolyte,"Slaughter Beach, Dog",Birdie,midwest emo,316.47
35,I Found You in Heaven,Lav Eli,Lav Eli,k-pop|pop,281.2
36,Santeria,Sublime,Sublime,reggae rock|ska,182.75
